time,X,Y,Z
7.667529344558716,0.0,0.01,-9.72
7.692691326141357,0.01,0.02,-9.73
7.717623233795166,0.01,0.01,-9.71
7.74250340461731,0.0,0.02,-9.72
7.766736745834351,0.0,0.02,-9.71
7.791332721710205,0.02,0.03,-9.72
7.816220760345459,0.02,0.04,-9.69
7.8411195278167725,0.02,0.02,-9.7
7.86602258682251,0.0,0.02,-9.68
7.890901327133179,0.01,0.03,-9.72
7.915799856185913,0.02,0.02,-9.73
7.940791845321655,-0.0,0.02,-9.7
7.965692520141602,0.0,0.03,-9.71
7.990612030029297,0.0,0.04,-9.7
8.015488147735596,0.0,0.02,-9.72
8.040380716323853,0.01,0.02,-9.74
8.065377235412598,-0.0,0.03,-9.72
8.090272188186646,0.0,0.03,-9.71
8.115172863006592,0.0,0.02,-9.73
8.140068292617798,0.0,0.02,-9.72
8.164963483810425,0.0,0.02,-9.72
8.1908438205719,0.0,0.02,-9.73
8.21582317352295,-0.0,0.02,-9.72
8.240710258483887,0.0,0.03,-9.7
8.265636920928955,0.0,0.02,-9.69
8.289551496505737,0.0,0.02,-9.7
8.314430952072144,0.0,0.02,-9.72
8.339326858520508,0.01,0.04,-9.72
8.364245653152466,0.01,0.05,-9.71
8.390215396881104,-0.0,0.02,-9.71
8.415093660354614,0.0,0.01,-9.68
8.439955711364746,0.01,0.02,-9.69
8.464916467666626,0.03,0.03,-9.73
8.488822937011719,0.01,0.03,-9.71
8.513763189315796,0.01,0.02,-9.69
8.538604497909546,0.0,0.02,-9.73
8.563621520996094,-0.01,0.02,-9.74
8.589313745498657,0.0,0.03,-9.72
8.614396095275879,0.01,0.04,-9.72
8.639203548431396,0.0,0.01,-9.73
8.664157629013062,0.0,0.02,-9.72
8.688536405563354,0.03,0.02,-9.67
8.71297574043274,0.0,0.03,-9.68
8.737862348556519,0.02,0.02,-9.72
8.762749671936035,0.02,0.02,-9.72
8.78773283958435,-0.0,0.01,-9.74
8.812759399414062,-0.0,0.02,-9.72
8.837674617767334,0.01,0.03,-9.72
8.862551927566528,0.0,0.02,-9.71
8.887569665908813,-0.01,0.02,-9.71
8.912464618682861,0.01,0.03,-9.72
8.937347412109375,0.0,0.03,-9.69
8.962231636047363,0.0,0.04,-9.71
8.987120389938354,0.02,0.02,-9.74
9.012017250061035,0.0,0.01,-9.73
9.036921977996826,0.0,0.02,-9.69
9.061816692352295,0.02,0.01,-9.73
9.08670687675476,0.0,0.03,-9.76
9.112569808959961,0.01,0.03,-9.72
9.137529373168945,0.01,0.02,-9.72
9.162421226501465,-0.0,0.0,-9.74
9.18735957145691,0.0,0.0,-9.71
9.211295366287231,0.01,0.02,-9.66
9.236188888549805,0.01,0.03,-9.72
9.26110577583313,0.01,0.02,-9.73
9.285972356796265,0.01,0.02,-9.7
9.3119375705719,-0.0,0.03,-9.68
9.336868047714233,0.01,0.03,-9.72
9.36169719696045,0.0,0.03,-9.71
9.386733531951904,-0.0,0.01,-9.68
9.410657405853271,0.01,0.02,-9.73
9.43564486503601,-0.0,0.02,-9.69
9.460556268692017,0.0,0.01,-9.72
9.485474109649658,0.01,0.03,-9.7
9.511116027832031,0.0,0.04,-9.67
9.536248445510864,0.0,0.02,-9.72
9.561086416244507,0.0,0.04,-9.7
9.586020469665527,0.0,0.03,-9.7
9.610825300216675,-0.01,0.01,-9.7
9.635009765625,-0.0,0.02,-9.72
9.659906387329102,0.0,0.02,-9.69
9.684906244277954,-0.0,0.02,-9.71
9.709843158721924,0.0,0.02,-9.69
9.734702825546265,0.01,0.02,-9.67
9.759693145751953,-0.0,0.04,-9.7
9.784594774246216,0.0,0.02,-9.72
9.809569597244263,-0.0,0.03,-9.73
9.834566116333008,-0.0,0.03,-9.73
9.85946774482727,0.01,0.03,-9.71
9.884460926055908,-0.0,0.03,-9.72
9.909357786178589,0.0,0.02,-9.73
9.934275150299072,0.01,0.03,-9.73
9.959149599075317,0.0,0.03,-9.7
9.984078168869019,0.0,0.02,-9.69
10.008944272994995,0.0,0.02,-9.71
10.034838438034058,0.02,0.01,-9.73
10.059650897979736,0.01,0.03,-9.73
10.08461332321167,0.0,0.01,-9.73
10.108858108520508,0.0,0.02,-9.71
10.13354206085205,-0.0,0.04,-9.69
10.158502340316772,-0.01,0.01,-9.71
10.183436393737793,0.0,0.02,-9.74
10.20829963684082,0.0,0.02,-9.72
10.233205080032349,0.0,0.01,-9.72
10.25812578201294,0.0,0.03,-9.7
10.283009767532349,0.0,0.03,-9.69
10.307895183563232,0.01,0.03,-9.73
10.333837985992432,0.0,0.03,-9.72
10.358630180358887,0.02,0.03,-9.71
10.383528709411621,0.02,0.03,-9.71
10.40840458869934,0.0,0.02,-9.71
10.432372331619263,0.03,0.02,-9.71
10.457259178161621,0.04,0.02,-9.74
10.482192516326904,0.0,0.03,-9.71
10.507153749465942,-0.0,0.03,-9.71
10.532999277114868,-0.0,0.02,-9.69
10.558133840560913,-0.01,0.02,-9.76
10.58301591873169,0.02,0.03,-9.72
10.607867956161499,0.01,0.02,-9.68
10.632368087768555,0.01,0.02,-9.73
10.656742334365845,0.02,0.02,-9.69
10.681630373001099,0.0,0.01,-9.67
10.7066171169281,-0.0,0.02,-9.73
10.73152208328247,0.0,0.02,-9.72
10.756427764892578,0.0,0.04,-9.71
10.781316757202148,0.0,0.04,-9.7
10.80621337890625,0.0,0.02,-9.68
10.831195831298828,-0.01,0.02,-9.73
10.856114387512207,0.02,0.03,-9.72
10.881009578704834,0.03,0.03,-9.7
10.906014919281006,-0.0,0.02,-9.73
10.930901765823364,0.01,0.04,-9.72
10.95580530166626,0.0,0.03,-9.71
10.980694770812988,0.0,0.02,-9.73
11.005631446838379,0.01,0.03,-9.71
11.03048586845398,0.01,0.02,-9.71
11.056352853775024,0.01,0.02,-9.71
11.081241846084595,0.01,0.03,-9.7
11.106304168701172,-0.0,0.03,-9.71
11.131117105484009,0.0,0.02,-9.7
